program;dft;basis;moleculeName;R;energy
GAMESS;AM05;ACCQ2;HeHe;2;-5.702138204
GAMESS;AM05;ACCQ2;HeHe;2.1;-5.702972709
GAMESS;AM05;ACCQ2;HeHe;2.2;-5.703532344
GAMESS;AM05;ACCQ2;HeHe;2.3;-5.703910494
GAMESS;AM05;ACCQ2;HeHe;2.4;-5.70416845
GAMESS;AM05;ACCQ2;HeHe;2.5;-5.704346408
GAMESS;AM05;ACCQ2;HeHe;2.6;-5.704470743
GAMESS;AM05;ACCQ2;HeHe;2.7;-5.704558817
GAMESS;AM05;ACCQ2;HeHe;2.8;-5.704622138
GAMESS;AM05;ACCQ2;HeHe;2.9;-5.70466841
GAMESS;AM05;ACCQ2;HeHe;3;-5.704702835
GAMESS;AM05;ACCQ2;HeHe;3.1;-5.704728941
GAMESS;AM05;ACCQ2;HeHe;3.2;-5.704749117
GAMESS;AM05;ACCQ2;HeHe;3.3;-5.704764973
GAMESS;AM05;ACCQ2;HeHe;3.4;-5.704777597
GAMESS;AM05;ACCQ2;HeHe;3.5;-5.704787738
GAMESS;AM05;ACCQ2;HeHe;3.6;-5.704795924
GAMESS;AM05;ACCQ2;HeHe;3.7;-5.704802549
GAMESS;AM05;ACCQ2;HeHe;3.8;-5.704807918
GAMESS;AM05;ACCQ2;HeHe;3.9;-5.70481227
GAMESS;AM05;ACCQ2;HeHe;4;-5.704815802
GAMESS;AM05;ACCQ2;HeHe;4.1;-5.704818668
GAMESS;AM05;ACCQ2;HeHe;4.2;-5.704820995
GAMESS;AM05;ACCQ2;HeHe;4.3;-5.704822882
GAMESS;AM05;ACCQ2;HeHe;4.4;-5.704824408
GAMESS;AM05;ACCQ2;HeHe;4.5;-5.704825637
GAMESS;AM05;ACCQ2;HeHe;4.6;-5.704826621
GAMESS;AM05;ACCQ2;HeHe;4.7;-5.704827404
GAMESS;AM05;ACCQ2;HeHe;4.8;-5.704828021
GAMESS;AM05;ACCQ2;HeHe;4.9;-5.704828503
GAMESS;AM05;ACCQ2;HeHe;5;-5.704828876
GAMESS;AM05;ACCQ2;HeHe;5.1;-5.704829162
GAMESS;AM05;ACCQ2;HeHe;5.2;-5.704829379
GAMESS;AM05;ACCQ2;HeHe;5.3;-5.704829542
GAMESS;AM05;ACCQ2;HeHe;5.4;-5.704829663
GAMESS;AM05;ACCQ2;HeHe;5.5;-5.704829753
GAMESS;AM05;ACCQ2;HeHe;5.6;-5.704829818
GAMESS;AM05;ACCQ2;HeHe;5.7;-5.704829865
GAMESS;AM05;ACCQ2;HeHe;5.8;-5.704829899
GAMESS;AM05;ACCQ2;HeHe;5.9;-5.704829922
GAMESS;AM05;ACCQ2;HeHe;6;-5.704829939
GAMESS;AM05;ACCQ2;HeHe;6.1;-5.70482995
GAMESS;AM05;ACCQ2;HeHe;6.2;-5.704829957
GAMESS;AM05;ACCQ2;HeHe;6.3;-5.704829962
GAMESS;AM05;ACCQ2;HeHe;6.4;-5.704829965
GAMESS;AM05;ACCQ2;HeHe;6.5;-5.704829966
GAMESS;AM05;ACCQ2;HeHe;6.6;-5.704829967
GAMESS;AM05;ACCQ2;HeHe;6.7;-5.704829968
GAMESS;AM05;ACCQ2;HeHe;6.8;-5.704829969
GAMESS;AM05;ACCQ2;HeHe;6.9;-5.704829969
GAMESS;AM05;ACCQ2;HeHe;7;-5.70482997
GAMESS;AM05;ACCQ2;HeNe;2;-131.1590169
GAMESS;AM05;ACCQ2;HeNe;2.1;-131.1608794
GAMESS;AM05;ACCQ2;HeNe;2.2;-131.1621015
GAMESS;AM05;ACCQ2;HeNe;2.3;-131.162908
GAMESS;AM05;ACCQ2;HeNe;2.4;-131.1634437
GAMESS;AM05;ACCQ2;HeNe;2.5;-131.1638022
GAMESS;AM05;ACCQ2;HeNe;2.6;-131.1640445
GAMESS;AM05;ACCQ2;HeNe;2.7;-131.1642107
GAMESS;AM05;ACCQ2;HeNe;2.8;-131.1643273
GAMESS;AM05;ACCQ2;HeNe;2.9;-131.1644112
GAMESS;AM05;ACCQ2;HeNe;3;-131.1644735
GAMESS;AM05;ACCQ2;HeNe;3.1;-131.1645208
GAMESS;AM05;ACCQ2;HeNe;3.2;-131.1645573
GAMESS;AM05;ACCQ2;HeNe;3.3;-131.1645855
GAMESS;AM05;ACCQ2;HeNe;3.4;-131.1646075
GAMESS;AM05;ACCQ2;HeNe;3.5;-131.1646245
GAMESS;AM05;ACCQ2;HeNe;3.6;-131.1646378
GAMESS;AM05;ACCQ2;HeNe;3.7;-131.1646482
GAMESS;AM05;ACCQ2;HeNe;3.8;-131.1646564
GAMESS;AM05;ACCQ2;HeNe;3.9;-131.164663
GAMESS;AM05;ACCQ2;HeNe;4;-131.1646683
GAMESS;AM05;ACCQ2;HeNe;4.1;-131.1646725
GAMESS;AM05;ACCQ2;HeNe;4.2;-131.164676
GAMESS;AM05;ACCQ2;HeNe;4.3;-131.1646788
GAMESS;AM05;ACCQ2;HeNe;4.4;-131.1646811
GAMESS;AM05;ACCQ2;HeNe;4.5;-131.1646829
GAMESS;AM05;ACCQ2;HeNe;4.6;-131.1646843
GAMESS;AM05;ACCQ2;HeNe;4.7;-131.1646854
GAMESS;AM05;ACCQ2;HeNe;4.8;-131.1646863
GAMESS;AM05;ACCQ2;HeNe;4.9;-131.164687
GAMESS;AM05;ACCQ2;HeNe;5;-131.1646876
GAMESS;AM05;ACCQ2;HeNe;5.1;-131.164688
GAMESS;AM05;ACCQ2;HeNe;5.2;-131.1646884
GAMESS;AM05;ACCQ2;HeNe;5.3;-131.1646886
GAMESS;AM05;ACCQ2;HeNe;5.4;-131.1646889
GAMESS;AM05;ACCQ2;HeNe;5.5;-131.1646891
GAMESS;AM05;ACCQ2;HeNe;5.6;-131.1646892
GAMESS;AM05;ACCQ2;HeNe;5.7;-131.1646893
GAMESS;AM05;ACCQ2;HeNe;5.8;-131.1646894
GAMESS;AM05;ACCQ2;HeNe;5.9;-131.1646895
GAMESS;AM05;ACCQ2;HeNe;6;-131.1646896
GAMESS;AM05;ACCQ2;HeNe;6.1;-131.1646896
GAMESS;AM05;ACCQ2;HeNe;6.2;-131.1646897
GAMESS;AM05;ACCQ2;HeNe;6.3;-131.1646897
GAMESS;AM05;ACCQ2;HeNe;6.4;-131.1646897
GAMESS;AM05;ACCQ2;HeNe;6.5;-131.1646897
GAMESS;AM05;ACCQ2;HeNe;6.6;-131.1646898
GAMESS;AM05;ACCQ2;HeNe;6.7;-131.1646898
GAMESS;AM05;ACCQ2;HeNe;6.8;-131.1646898
GAMESS;AM05;ACCQ2;HeNe;6.9;-131.1646898
GAMESS;AM05;ACCQ2;HeNe;7;-131.1646898
GAMESS;AM05;ACCQ2;HeAr;2;-528.8993361
GAMESS;AM05;ACCQ2;HeAr;2.1;-528.9064405
GAMESS;AM05;ACCQ2;HeAr;2.2;-528.9113549
GAMESS;AM05;ACCQ2;HeAr;2.3;-528.9147467
GAMESS;AM05;ACCQ2;HeAr;2.4;-528.9170852
GAMESS;AM05;ACCQ2;HeAr;2.5;-528.9186984
GAMESS;AM05;ACCQ2;HeAr;2.6;-528.9198137
GAMESS;AM05;ACCQ2;HeAr;2.7;-528.9205877
GAMESS;AM05;ACCQ2;HeAr;2.8;-528.9211277
GAMESS;AM05;ACCQ2;HeAr;2.9;-528.921507
GAMESS;AM05;ACCQ2;HeAr;3;-528.9217755
GAMESS;AM05;ACCQ2;HeAr;3.1;-528.9219676
GAMESS;AM05;ACCQ2;HeAr;3.2;-528.9221064
GAMESS;AM05;ACCQ2;HeAr;3.3;-528.9222079
GAMESS;AM05;ACCQ2;HeAr;3.4;-528.9222832
GAMESS;AM05;ACCQ2;HeAr;3.5;-528.9223398
GAMESS;AM05;ACCQ2;HeAr;3.6;-528.922383
GAMESS;AM05;ACCQ2;HeAr;3.7;-528.9224163
GAMESS;AM05;ACCQ2;HeAr;3.8;-528.9224425
GAMESS;AM05;ACCQ2;HeAr;3.9;-528.9224634
GAMESS;AM05;ACCQ2;HeAr;4;-528.9224802
GAMESS;AM05;ACCQ2;HeAr;4.1;-528.9224939
GAMESS;AM05;ACCQ2;HeAr;4.2;-528.9225051
GAMESS;AM05;ACCQ2;HeAr;4.3;-528.9225145
GAMESS;AM05;ACCQ2;HeAr;4.4;-528.9225222
GAMESS;AM05;ACCQ2;HeAr;4.5;-528.9225287
GAMESS;AM05;ACCQ2;HeAr;4.6;-528.922534
GAMESS;AM05;ACCQ2;HeAr;4.7;-528.9225385
GAMESS;AM05;ACCQ2;HeAr;4.8;-528.9225422
GAMESS;AM05;ACCQ2;HeAr;4.9;-528.9225452
GAMESS;AM05;ACCQ2;HeAr;5;-528.9225477
GAMESS;AM05;ACCQ2;HeAr;5.1;-528.9225498
GAMESS;AM05;ACCQ2;HeAr;5.2;-528.9225515
GAMESS;AM05;ACCQ2;HeAr;5.3;-528.9225529
GAMESS;AM05;ACCQ2;HeAr;5.4;-528.9225541
GAMESS;AM05;ACCQ2;HeAr;5.5;-528.922555
GAMESS;AM05;ACCQ2;HeAr;5.6;-528.9225557
GAMESS;AM05;ACCQ2;HeAr;5.7;-528.9225563
GAMESS;AM05;ACCQ2;HeAr;5.8;-528.9225568
GAMESS;AM05;ACCQ2;HeAr;5.9;-528.9225572
GAMESS;AM05;ACCQ2;HeAr;6;-528.9225575
GAMESS;AM05;ACCQ2;HeAr;6.1;-528.9225578
GAMESS;AM05;ACCQ2;HeAr;6.2;-528.922558
GAMESS;AM05;ACCQ2;HeAr;6.3;-528.9225581
GAMESS;AM05;ACCQ2;HeAr;6.4;-528.9225582
GAMESS;AM05;ACCQ2;HeAr;6.5;-528.9225583
GAMESS;AM05;ACCQ2;HeAr;6.6;-528.9225584
GAMESS;AM05;ACCQ2;HeAr;6.7;-528.9225584
GAMESS;AM05;ACCQ2;HeAr;6.8;-528.9225585
GAMESS;AM05;ACCQ2;HeAr;6.9;-528.9225585
GAMESS;AM05;ACCQ2;HeAr;7;-528.9225585
GAMESS;AM05;ACCQ2;HeKr;2;-2753.091764
GAMESS;AM05;ACCQ2;HeKr;2.1;-2753.102295
GAMESS;AM05;ACCQ2;HeKr;2.2;-2753.109757
GAMESS;AM05;ACCQ2;HeKr;2.3;-2753.115027
GAMESS;AM05;ACCQ2;HeKr;2.4;-2753.118739
GAMESS;AM05;ACCQ2;HeKr;2.5;-2753.121348
