Program;Method;Basis;Molecule;Distance;Force
GAMESS;M062X;ACCQ-BSE;ArAr;2;0.2643596
GAMESS;M062X;ACCQ-BSE;ArAr;2.1;0.11761224
GAMESS;M062X;ACCQ-BSE;ArAr;2.2;0.02692269
GAMESS;M062X;ACCQ-BSE;ArAr;2.3;-0.02656944
GAMESS;M062X;ACCQ-BSE;ArAr;2.4;-0.04724347
GAMESS;M062X;ACCQ-BSE;ArAr;2.5;-0.05119727
GAMESS;M062X;ACCQ-BSE;ArAr;2.6;-0.04676874
GAMESS;M062X;ACCQ-BSE;ArAr;2.7;-0.03856068
GAMESS;M062X;ACCQ-BSE;ArAr;2.8;-0.02966293
GAMESS;M062X;ACCQ-BSE;ArAr;2.9;-0.02334819
GAMESS;M062X;ACCQ-BSE;ArAr;3;-0.01795812
GAMESS;M062X;ACCQ-BSE;ArAr;3.1;-0.01346862
GAMESS;M062X;ACCQ-BSE;ArAr;3.2;-0.00993125
GAMESS;M062X;ACCQ-BSE;ArAr;3.3;-0.00725144
GAMESS;M062X;ACCQ-BSE;ArAr;3.4;-0.00526885
GAMESS;M062X;ACCQ-BSE;ArAr;3.5;-0.00386609
GAMESS;M062X;ACCQ-BSE;ArAr;3.6;-0.00291222
GAMESS;M062X;ACCQ-BSE;ArAr;3.7;-0.0022914
GAMESS;M062X;ACCQ-BSE;ArAr;3.8;-0.00184422
GAMESS;M062X;ACCQ-BSE;ArAr;3.9;-0.00146348
GAMESS;M062X;ACCQ-BSE;ArAr;4;-0.0011331
GAMESS;M062X;ACCQ-BSE;ArAr;4.1;-0.00083925
GAMESS;M062X;ACCQ-BSE;ArAr;4.2;-0.00057659
GAMESS;M062X;ACCQ-BSE;ArAr;4.3;-0.0003644
GAMESS;M062X;ACCQ-BSE;ArAr;4.4;-0.00019623
GAMESS;M062X;ACCQ-BSE;ArAr;4.5;-7.16E-05
GAMESS;M062X;ACCQ-BSE;ArAr;4.6;1.22E-05
GAMESS;M062X;ACCQ-BSE;ArAr;4.7;5.92E-05
GAMESS;M062X;ACCQ-BSE;ArAr;4.8;7.60E-05
GAMESS;M062X;ACCQ-BSE;ArAr;4.9;6.96E-05
GAMESS;M062X;ACCQ-BSE;ArAr;5;4.77E-05
GAMESS;M062X;ACCQ-BSE;ArAr;5.1;1.72E-05
GAMESS;M062X;ACCQ-BSE;ArAr;5.2;-1.82E-05
GAMESS;M062X;ACCQ-BSE;ArAr;5.3;-5.29E-05
GAMESS;M062X;ACCQ-BSE;ArAr;5.4;-8.49E-05
GAMESS;M062X;ACCQ-BSE;ArAr;5.5;-0.00011145
GAMESS;M062X;ACCQ-BSE;ArAr;5.6;-0.0001321
GAMESS;M062X;ACCQ-BSE;ArAr;5.7;-0.00014683
GAMESS;M062X;ACCQ-BSE;ArAr;5.8;-0.0001553
GAMESS;M062X;ACCQ-BSE;ArAr;5.9;-0.00015983
GAMESS;M062X;ACCQ-BSE;ArAr;6;-0.00016066
GAMESS;M062X;ACCQ-BSE;ArAr;6.1;-0.00015804
GAMESS;M062X;ACCQ-BSE;ArAr;6.2;-0.00015331
GAMESS;M062X;ACCQ-BSE;ArAr;6.3;-0.00014673
GAMESS;M062X;ACCQ-BSE;ArAr;6.4;-0.0001387
GAMESS;M062X;ACCQ-BSE;ArAr;6.5;-0.00013018
GAMESS;M062X;ACCQ-BSE;ArAr;6.6;-0.00012136
GAMESS;M062X;ACCQ-BSE;ArAr;6.7;-0.00011223
GAMESS;M062X;ACCQ-BSE;ArAr;6.8;-0.00010304
GAMESS;M062X;ACCQ-BSE;ArAr;6.9;-9.40E-05
GAMESS;M062X;ACCQ-BSE;ArAr;7;-8.52E-05
GAMESS;PBE;ACCQ-BSE;ArAr;2;0.26924733
GAMESS;PBE;ACCQ-BSE;ArAr;2.1;0.13810551
GAMESS;PBE;ACCQ-BSE;ArAr;2.2;0.05946185
GAMESS;PBE;ACCQ-BSE;ArAr;2.3;0.01440647
GAMESS;PBE;ACCQ-BSE;ArAr;2.4;-0.00975583
GAMESS;PBE;ACCQ-BSE;ArAr;2.5;-0.02134345
GAMESS;PBE;ACCQ-BSE;ArAr;2.6;-0.0256891
GAMESS;PBE;ACCQ-BSE;ArAr;2.7;-0.02614279
GAMESS;PBE;ACCQ-BSE;ArAr;2.8;-0.02461055
GAMESS;PBE;ACCQ-BSE;ArAr;2.9;-0.02215643
GAMESS;PBE;ACCQ-BSE;ArAr;3;-0.0192749
GAMESS;PBE;ACCQ-BSE;ArAr;3.1;-0.0162148
GAMESS;PBE;ACCQ-BSE;ArAr;3.2;-0.01314958
GAMESS;PBE;ACCQ-BSE;ArAr;3.3;-0.01024748
GAMESS;PBE;ACCQ-BSE;ArAr;3.4;-0.00764388
GAMESS;PBE;ACCQ-BSE;ArAr;3.5;-0.00543271
GAMESS;PBE;ACCQ-BSE;ArAr;3.6;-0.00364649
GAMESS;PBE;ACCQ-BSE;ArAr;3.7;-0.00227838
GAMESS;PBE;ACCQ-BSE;ArAr;3.8;-0.00128691
GAMESS;PBE;ACCQ-BSE;ArAr;3.9;-0.00061109
GAMESS;PBE;ACCQ-BSE;ArAr;4;-0.00018591
GAMESS;PBE;ACCQ-BSE;ArAr;4.1;4.75E-05
GAMESS;PBE;ACCQ-BSE;ArAr;4.2;0.00014027
GAMESS;PBE;ACCQ-BSE;ArAr;4.3;0.00013324
GAMESS;PBE;ACCQ-BSE;ArAr;4.4;6.10E-05
GAMESS;PBE;ACCQ-BSE;ArAr;4.5;-4.91E-05
GAMESS;PBE;ACCQ-BSE;ArAr;4.6;-0.00017642
GAMESS;PBE;ACCQ-BSE;ArAr;4.7;-0.00030662
GAMESS;PBE;ACCQ-BSE;ArAr;4.8;-0.00042963
GAMESS;PBE;ACCQ-BSE;ArAr;4.9;-0.00054198
GAMESS;PBE;ACCQ-BSE;ArAr;5;-0.00063615
GAMESS;PBE;ACCQ-BSE;ArAr;5.1;-0.00071047
GAMESS;PBE;ACCQ-BSE;ArAr;5.2;-0.00076437
GAMESS;PBE;ACCQ-BSE;ArAr;5.3;-0.00079945
GAMESS;PBE;ACCQ-BSE;ArAr;5.4;-0.00081768
GAMESS;PBE;ACCQ-BSE;ArAr;5.5;-0.00081981
GAMESS;PBE;ACCQ-BSE;ArAr;5.6;-0.00080796
GAMESS;PBE;ACCQ-BSE;ArAr;5.7;-0.0007833
GAMESS;PBE;ACCQ-BSE;ArAr;5.8;-0.0007494
GAMESS;PBE;ACCQ-BSE;ArAr;5.9;-0.00070911
GAMESS;PBE;ACCQ-BSE;ArAr;6;-0.00066486
GAMESS;PBE;ACCQ-BSE;ArAr;6.1;-0.00061844
GAMESS;PBE;ACCQ-BSE;ArAr;6.2;-0.00057123
GAMESS;PBE;ACCQ-BSE;ArAr;6.3;-0.0005244
GAMESS;PBE;ACCQ-BSE;ArAr;6.4;-0.00047824
GAMESS;PBE;ACCQ-BSE;ArAr;6.5;-0.00043382
GAMESS;PBE;ACCQ-BSE;ArAr;6.6;-0.00039132
GAMESS;PBE;ACCQ-BSE;ArAr;6.7;-0.00035112
GAMESS;PBE;ACCQ-BSE;ArAr;6.8;-0.0003133
GAMESS;PBE;ACCQ-BSE;ArAr;6.9;-0.00027791
GAMESS;PBE;ACCQ-BSE;ArAr;7;-0.00024523
GAMESS;PBE0;ACCQ-BSE;ArAr;2;0.25111191
GAMESS;PBE0;ACCQ-BSE;ArAr;2.1;0.12110422
GAMESS;PBE0;ACCQ-BSE;ArAr;2.2;0.04458149
GAMESS;PBE0;ACCQ-BSE;ArAr;2.3;0.00218473
GAMESS;PBE0;ACCQ-BSE;ArAr;2.4;-0.01924041
GAMESS;PBE0;ACCQ-BSE;ArAr;2.5;-0.02827961
GAMESS;PBE0;ACCQ-BSE;ArAr;2.6;-0.03040633
GAMESS;PBE0;ACCQ-BSE;ArAr;2.7;-0.0289777
GAMESS;PBE0;ACCQ-BSE;ArAr;2.8;-0.02597411
GAMESS;PBE0;ACCQ-BSE;ArAr;2.9;-0.02242975
GAMESS;PBE0;ACCQ-BSE;ArAr;3;-0.01881473
GAMESS;PBE0;ACCQ-BSE;ArAr;3.1;-0.01534763
GAMESS;PBE0;ACCQ-BSE;ArAr;3.2;-0.01214161
GAMESS;PBE0;ACCQ-BSE;ArAr;3.3;-0.00928404
GAMESS;PBE0;ACCQ-BSE;ArAr;3.4;-0.00683847
GAMESS;PBE0;ACCQ-BSE;ArAr;3.5;-0.00483425
GAMESS;PBE0;ACCQ-BSE;ArAr;3.6;-0.00326221
GAMESS;PBE0;ACCQ-BSE;ArAr;3.7;-0.0020815
GAMESS;PBE0;ACCQ-BSE;ArAr;3.8;-0.0012376
