moleculeName;dft;minR;min
HeHe;AM05;2;6.806294342
HeNe;AM05;2;21.67181869
HeAr;AM05;2;11.92894304
HeHe;APF;2;6.336810559
HeNe;APF;2;19.54069603
HeAr;APF;2;12.00581296
HeHe;B1LYP;2;5.633541837
HeNe;B1LYP;2;18.78563267
HeAr;B1LYP;2;9.176655002
HeHe;B3LYPV1R;2;5.763737509
HeNe;B3LYPV1R;2;19.33390028
HeAr;B3LYPV1R;2;9.663740426
HeHe;B97;2;6.502724071
HeNe;B97;2;20.32045816
HeAr;B97;2;12.191675
HeHe;B97-1;2;6.013153709
HeNe;B97-1;2;19.61587167
HeAr;B97-1;2;11.31078344
HeHe;B97-2;2;7.061245177
HeNe;B97-2;2;20.12943172
HeAr;B97-2;2;13.9471642
HeHe;B97-3;2;6.419215107
HeNe;B97-3;2;20.35228544
HeAr;B97-3;2;11.83637912
HeHe;BHHLYP;2;5.037778043
HeNe;BHHLYP;2;16.01325805
HeAr;BHHLYP;2;7.458063359
HeHe;BLYP;2;6.213887723
HeNe;BLYP;2;21.51725683
HeAr;BLYP;2;10.91401545
HeHe;CAMB3LYP;2;5.105649471
HeNe;CAMB3LYP;2;18.13134107
HeAr;CAMB3LYP;2;7.094314927
HeHe;CAMQTP00;2;4.405970103
HeNe;CAMQTP00;2;14.53128769
HeAr;CAMQTP00;2;5.395803588
HeHe;CAMQTP01;2;4.252462454
HeNe;CAMQTP01;2;16.33485667
HeAr;CAMQTP01;2;4.567547524
HeHe;CAMQTP02;2;3.969512145
HeNe;CAMQTP02;2;15.5687366
HeAr;CAMQTP02;2;3.766117491
HeHe;CCSD;2;5.878320743
HeNe;CCSD;2;14.34216888
HeAr;CCSD;2;6.266222016
HeHe;CHACHIYO;2;8.510509742
HeNe;CHACHIYO;2;24.09969688
HeAr;CHACHIYO;2;16.19411257
HeHe;DLDF;2;7.394515472
HeNe;DLDF;2;21.03313325
HeAr;DLDF;2;14.12684527
HeHe;EDF1;2;7.881707573
HeNe;EDF1;2;22.76209763
HeAr;EDF1;2;14.43234199
HeHe;EDF2;2;5.440162235
HeNe;EDF2;2;18.76383299
HeAr;EDF2;2;9.097632731
HeHe;GAM;2;6.015990052
HeNe;GAM;2;18.60772118
HeAr;GAM;2;16.35860791
HeHe;HCTH407;2;7.706255917
HeNe;HCTH407;2;22.77803637
HeAr;HCTH407;2;16.64463301
HeHe;HCTH-P14;2;6.127711844
HeNe;HCTH-P14;2;20.78314602
HeAr;HCTH-P14;2;13.10970257
HeHe;HCTH-P76;2;11.84365823
HeNe;HCTH-P76;2;26.72202143
HeAr;HCTH-P76;2;19.13049307
HeHe;HLE16;2;8.16354719
HeNe;HLE16;2;19.31629863
HeAr;HLE16;2;21.48562408
